elapsed_s,wall_time,reference_id,sp_can_unconfirmed,reference_valid_age_ms,reference_count,reference_payload_changes,reference_max_gap_ms,reference_raw,position,delta_position_from_first_sample,velocity,status2_valid_age_ms,status2_count,status2_max_gap_ms,status2_raw,applied_output,bus_voltage_V,motor_current_A,temperature_C,status0_valid_age_ms,status0_raw,status1_age_ms,status1_raw,heartbeat_age_ms,heartbeat_count,heartbeat_max_gap_ms,heartbeat_raw,invalid_frame_count,error_frame_count,candidate_reference_ids
22.747419,2026-09-14T21:15:46.384064-06:00,0x02051081,0.5,0.1983642578125,990,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,1.1153221130371094,00006e0600182000,28.055667877197266,0000000000400000,0.6086826324462891,990,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.866451,2026-09-14T21:15:46.503097-06:00,0x02051081,0.5,19.262313842773438,995,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.07677078247070312,00006e0600182000,147.08805084228516,0000000000400000,19.650697708129883,995,23.15235137939453,ffffffffffffffff,0,0,0x02051081
22.966828,2026-09-14T21:15:46.603474-06:00,0x02051081,0.5,19.55890655517578,1000,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5238056182861328,00006e0600182000,247.4653720855713,0000000000400000,0.033855438232421875,1001,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.066924,2026-09-14T21:15:46.703570-06:00,0x02051081,0.5,19.72031593322754,1005,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.4684925079345703,00006f0600182000,97.57876396179199,0000000000400000,0.03528594970703125,1006,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.167718,2026-09-14T21:15:46.804364-06:00,0x02051081,0.5,0.04792213439941406,1011,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,1.363992691040039,00006e0600182000,198.37236404418945,0000000000400000,0.8499622344970703,1011,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.286419,2026-09-14T21:15:46.923064-06:00,0x02051081,0.5,19.10543441772461,1016,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.07295608520507812,00006f0600182000,67.12055206298828,0000000000400000,19.493818283081055,1016,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.38683,2026-09-14T21:15:47.023476-06:00,0x02051081,0.5,19.547224044799805,1021,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5257129669189453,00006e0600182000,167.53220558166504,0000000000400000,0.051975250244140625,1022,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.486965,2026-09-14T21:15:47.123611-06:00,0x02051081,0.5,19.766569137573242,1026,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5862712860107422,00006e0600182000,17.615795135498047,0000000000400000,0.05340576171875,1027,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.587224,2026-09-14T21:15:47.223870-06:00,0x02051081,0.5,0.04982948303222656,1032,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9293556213378906,00006e0600182000,117.8748607635498,0000000000400000,0.438690185546875,1032,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.706396,2026-09-14T21:15:47.343042-06:00,0x02051081,0.5,19.22893524169922,1037,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.051282051282008,0.0,24,0.06270408630371094,00006d0600182000,237.046480178833,0000000000400000,19.620895385742188,1037,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.806457,2026-09-14T21:15:47.443104-06:00,0x02051081,0.5,19.17243003845215,1042,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.11134147644042969,00006f0600182000,87.12244033813477,0000000000400000,19.5772647857666,1042,23.15235137939453,ffffffffffffffff,0,0,0x02051081
23.906573,2026-09-14T21:15:47.543218-06:00,0x02051081,0.5,19.320249557495117,1047,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.19598007202148438,00006e0600182000,187.23678588867188,0000000000400000,19.715070724487305,1047,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.006873,2026-09-14T21:15:47.643519-06:00,0x02051081,0.5,19.67620849609375,1052,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5412101745605469,00006e0600182000,37.54019737243652,0000000000400000,0.05054473876953125,1053,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.107214,2026-09-14T21:15:47.743860-06:00,0x02051081,0.5,0.049591064453125,1058,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.885009765625,00006f0600182000,137.88127899169922,0000000000400000,0.4394054412841797,1058,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.207291,2026-09-14T21:15:47.843937-06:00,0x02051081,0.5,0.0514984130859375,1063,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9481906890869141,00006e0600182000,237.95795440673828,0000000000400000,0.4425048828125,1063,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.307471,2026-09-14T21:15:47.944118-06:00,0x02051081,0.5,0.09107589721679688,1068,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,1.173257827758789,00006e0600182000,88.1800651550293,0000000000400000,0.6430149078369141,1068,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.426392,2026-09-14T21:15:48.063038-06:00,0x02051081,0.5,19.222259521484375,1073,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.10085105895996094,00006f0600182000,207.10062980651855,0000000000400000,19.61517333984375,1073,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.526415,2026-09-14T21:15:48.163062-06:00,0x02051081,0.5,19.21367645263672,1078,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.051282051282008,0.0,24,0.09012222290039062,00006d0600182000,57.12604522705078,0000000000400000,19.605159759521484,1078,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.626823,2026-09-14T21:15:48.263469-06:00,0x02051081,0.5,19.659996032714844,1083,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.4897117614746094,00006e0600182000,157.5336456298828,0000000000400000,0.05054473876953125,1084,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.72721,2026-09-14T21:15:48.363856-06:00,0x02051081,0.5,0.049114227294921875,1089,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.9315013885498047,00006f0600182000,7.9288482666015625,0000000000400000,0.4394054412841797,1089,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.827323,2026-09-14T21:15:48.463969-06:00,0x02051081,0.5,0.04863739013671875,1094,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9715557098388672,00006e0600182000,108.04176330566406,0000000000400000,0.4391670227050781,1094,23.15235137939453,ffffffffffffffff,0,0,0x02051081
24.927405,2026-09-14T21:15:48.564051-06:00,0x02051081,0.5,0.05030632019042969,1099,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,1.0521411895751953,00006f0600182000,208.12392234802246,0000000000400000,0.44035911560058594,1099,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.046495,2026-09-14T21:15:48.683141-06:00,0x02051081,0.5,19.32668685913086,1104,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.06222724914550781,00006f0600182000,77.17370986938477,0000000000400000,19.716501235961914,1104,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.146834,2026-09-14T21:15:48.783480-06:00,0x02051081,0.5,19.66118812561035,1109,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.5581378936767578,00006e0600182000,177.51240730285645,0000000000400000,0.057220458984375,1110,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.246865,2026-09-14T21:15:48.883512-06:00,0x02051081,0.5,19.61064338684082,1114,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.065934065934023,0.0,24,0.5850791931152344,00006f0600182000,27.53925323486328,0000000000400000,0.041484832763671875,1115,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.347189,2026-09-14T21:15:48.983835-06:00,0x02051081,0.5,0.030994415283203125,1120,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9222030639648438,00006e0600182000,127.86316871643066,0000000000400000,0.41556358337402344,1120,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.447249,2026-09-14T21:15:49.083895-06:00,0x02051081,0.5,0.030994415283203125,1125,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9253025054931641,00006e0600182000,227.92291641235352,0000000000400000,0.4200935363769531,1125,23.15235137939453,ffffffffffffffff,0,0,0x02051081
25.547267,2026-09-14T21:15:49.183913-06:00,0x02051081,0.5,0.04100799560546875,1130,1,23.576974868774414,0000003f00000000,,,,,0,0.0,,0.0,12.058608058608016,0.0,24,0.9899139404296875,00006e0600182000,77.95548439025879,0000000000400000,0.4420280456542969,1130,23.15235137939453,ffffffffffffffff,0,0,0x02051081
