time_s,applied_duty_percent,velocity_rpm
7.840000000,74.997131260,4079.266253525
7.860000000,74.997131260,4074.285156250
7.880000000,74.997131260,4074.285125192
7.900000000,74.997131260,4074.284912109
7.920000000,74.997131260,4074.284912109
7.940000000,74.997131260,4074.284912109
7.960000000,74.997131260,4074.284912109
7.980000000,74.997131260,4074.284912109
8.000000000,74.997131260,4074.284912109
8.020000000,74.997131260,4074.284912109
8.040000000,74.997131260,4073.553771353
8.060000000,74.997131260,4068.570769400
8.080000000,74.997131260,4068.570556641
8.100000000,74.997131260,4068.570556641
8.120000000,74.997131260,4068.570556641
8.140000000,74.997131260,4068.570556641
8.160000000,74.997131260,4068.570556641
8.180000000,74.997131260,4068.570556641
8.200000000,74.997131260,4068.570556641
8.220000000,74.997131260,4068.570556641
8.240000000,74.997131260,4068.570556641
8.260000000,74.997131260,4068.570556641
8.280000000,74.997131260,4068.570556641
8.300000000,74.997131260,4068.570556641
8.320000000,74.997131260,4068.570556641
8.340000000,74.997131260,4068.570556641
8.360000000,74.997131260,4068.570556641
8.380000000,74.997131260,4068.570556641
8.400000000,74.997131260,4068.570556641
8.420000000,74.997131260,4068.570556641
8.440000000,74.997131260,4068.570556641
8.460000000,74.997131260,4068.570556641
8.480000000,74.997131260,4068.570556641
8.500000000,74.997131260,4068.570556641
8.520000000,74.997131260,4068.570556641
8.540000000,74.997131260,4068.570556641
8.560000000,74.997131260,4068.570556641
8.580000000,74.997131260,4068.570556641
8.600000000,74.997131260,4068.570556641
8.620000000,74.997131260,4068.570556641
8.640000000,74.997131260,4068.570556641
8.660000000,74.997131260,4068.570556641
8.680000000,74.997131260,4068.570556641
8.700000000,74.997131260,4068.570556641
8.720000000,74.997131260,4068.570556641
8.740000000,74.997131260,4068.570556641
8.760000000,74.997131260,4068.570556641
8.780000000,74.997131260,4068.570556641
8.800000000,74.997131260,4068.570556641
8.820000000,74.997131260,4068.570556641
8.840000000,74.997131260,4068.570556641
8.860000000,74.997131260,4068.570556641
8.880000000,74.997131260,4069.316196863
8.900000000,74.997131260,4074.284912109
8.920000000,74.997131260,4074.284912109
8.940000000,74.997131260,4074.284912109
8.960000000,74.997131260,4074.284912109
8.980000000,74.997131260,4074.284912109
